library_id	run_id	animal_id	day_post_infection_authoritative	infection_design_authoritative	inoculum_or_lineage_authoritative	publication_total_reads	publication_cells_gt1000	publication_chesson_cells	publication_nih1993_cells	experiment_accession	sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	instrument_model	library_strategy	library_source	library_selection	scientific_name	biosample_title	registry_organism	registry_geo_loc_name	registry_host	registry_isolate	registry_strain	registry_tissue	deposited_processed_cells	deployed_host_id	deployed_strain	deployed_day	deployed_geography	deployed_host_species	deployed_technology	deployed_sequencer	deployed_biological_replicate	deployed_cells	host_library_id_correct	day_correct	cell_count_correct	retained_by_plavisca	sample_material	capture_technology_authoritative	sequencing_platform_authoritative	host_species_authoritative	host_sex_authoritative	treatment_authority_note	parasite_provenance_note	host_provenance_note	experimental_site_note	sequencing_site_note
5164_2	SRR27021975	5164	16	Simultaneous infection	Chesson & NIH 1993	134225658	1832	969	863	SRX22714356	SAMN38578486	PRJNA1047651	SRP475376	Illumina_5164_2	Illumina_5164_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	1832	5164_2	NIH1993-F3&Chesson	16	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1832	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5164_1	SRR27021976	5164	14	Simultaneous infection	Chesson & NIH 1993	206451780	3881	1816	2065	SRX22714355	SAMN38578485	PRJNA1047651	SRP475376	Illumina_5164_1	Illumina_5164_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	3881	5164_1	NIH1993-F3&Chesson	14	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	3881	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5163_2	SRR27021980	5163	16	Simultaneous infection	Chesson & NIH 1993	122578812	1836	1127	709	SRX22714351	SAMN38578481	PRJNA1047651	SRP475376	Illumina_5163_2	Ilumina_5163_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	1836	5163_2	NIH1993-F3&Chesson	16	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1836	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5163_1	SRR27021981	5163	14	Simultaneous infection	Chesson & NIH 1993	176633853	4166	1915	2251	SRX22714350	SAMN38578480	PRJNA1047651	SRP475376	Illumina_5163_1	Illumina_5163_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	4166	5163_1	NIH1993-F3&Chesson	14	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	4166	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5708_2	SRR27021982	5708	21	Consecutive infection	Chesson then NIH 1993	202401923	628	628	0	SRX22714349	SAMN38578462	PRJNA1047651	SRP475376	Illumina_5708_2	Illumina_5708_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Chesson&NIH1993	NA	Blood	628	5708_2	NIH1993-F3&Chesson	21	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	628	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5550_1	SRR27021983	5550	17	Mono infection	NIH 1993	179557210	1971	0	1971	SRX22714348	SAMN38578479	PRJNA1047651	SRP475376	Illumina_5550_1	Illumina_5550_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3	NA	Blood	1971	5550_1	NIH1993-F3&Chesson	17	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1971	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	NIH-1993-F3 lineage; closely related to but distinct from Salvador-I; exact geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5537_4	SRR27021984	5537	26	Consecutive infection	NIH 1993 then Chesson	311727931	4841	0	4841	SRX22714347	SAMN38578478	PRJNA1047651	SRP475376	Illumina_5537_4	Illumina_5537_4	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	4841	5537_4	NIH1993-F3&Chesson	26	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	4841	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5537_3	SRR27021985	5537	24	Consecutive infection	NIH 1993 then Chesson	196168423	1783	0	1783	SRX22714346	SAMN38578477	PRJNA1047651	SRP475376	Illumina_5537_3	Illumina_5537_3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	1783	5537_3	NIH1993-F3&Chesson	24	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1783	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5537_2	SRR27021986	5537	21	Consecutive infection	NIH 1993 then Chesson	235941171	3489	0	3489	SRX22714345	SAMN38578476	PRJNA1047651	SRP475376	Illumina_5537_2	Illumina_5537_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3&Chesson	NA	Blood	3489	5537_3	NIH1993-F3&Chesson	21	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	3489	FALSE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5537_1	SRR27021987	5537	16	Mono infection	NIH 1993	211116857	6065	0	6065	SRX22714344	SAMN38578475	PRJNA1047651	SRP475376	Illumina_5537_1	Illumina_5537_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3	NA	Blood	6065	5537_1	NIH1993-F3&Chesson	16	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	6065	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	NIH-1993-F3 lineage; closely related to but distinct from Salvador-I; exact geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5142_2	SRR27021991	5142	17	Mono infection	NIH 1993	151575060	2627	0	2627	SRX22714340	SAMN38578471	PRJNA1047651	SRP475376	Illumina_5142_2	Illumina_5142_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3	NA	Blood	2627	5142_2	NIH1993-F3	17	El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	2627	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	NIH-1993-F3 lineage; closely related to but distinct from Salvador-I; exact geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5142_1	SRR27021992	5142	14	Mono infection	NIH 1993	210391362	5629	0	5629	SRX22714339	SAMN38578470	PRJNA1047651	SRP475376	Illumina_5142_1	Illumina_5142_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NIH1993-F3	NA	Blood	5629	5142_1	NIH1993-F3	14	El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	5629	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	NIH-1993-F3 lineage; closely related to but distinct from Salvador-I; exact geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5708_1	SRR27021993	5708	17	Mono infection	Chesson	225091644	16321	16321	0	SRX22714338	SAMN38578461	PRJNA1047651	SRP475376	Illumina_5708_1	Illumina_5708_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NA	Chesson	Blood	16321	5709_1	NIH1993-F3	17	Papua New Guinea	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	16321	FALSE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage; Papua New Guinea origin supported	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
4881_1	SRR27021994	4881	17	Mono infection	Chesson	176760123	881	881	0	SRX22714337	SAMN38578460	PRJNA1047651	SRP475376	Illumina_4881_1	Illumina_4881_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NA	Chesson	Blood	881	4881_1	Chesson	17	Papua New Guinea	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	881	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage; Papua New Guinea origin supported	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
